item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
P832,公立假日,,public holiday,法律规定假日（不上班）,,"official public holiday that occurs in this place in its honor, usually a non-working day"
P532,船籍港,,port of registry,,,"ship's port of registry. This is generally painted on the ship's stern (for the ""home port"", see Property:P504)"
P3263,底,,base,能決定幾何圖形特性的基底,,configuration of a polytop vertices around the symmetry axis
P4647,首演地点,,location of first performance,,,"location where a work was first debuted, performed or broadcasted"
P4584,首次亮相于,,first appearance,虚构角色首次亮相的作品,,work in which a fictional/mythical character or entity first appeared
P611,宗教團,,religious order,個人或宗教信仰所屬的僧侶或修女的教團,,order of monks or nuns to which an individual or religious house belongs
P413,队中位置,,position played on team / speciality,,,position or specialism of a player on a team
P2882,降级,,relegated,,,competitor or team relegated during competition
P3438,常用车辆,,vehicle normally used,主体通常使用的车辆,,vehicle the subject normally uses
P450,航天任务,,astronaut mission,某人曾参与的航天任务,,space mission that the subject is or has been a member of (do not include future missions)
P3092,电影摄制组成员,,film crew member,,,"member of the crew creating an audiovisual work, used for miscellaneous roles qualified with the job title when no specific property exists. Don't use if such a property is available: notably for cast member (P161), director (P57), etc."
P2959,永久重複項,,permanent duplicated item,"此項對應的重複項，且兩者不能被合併，因為同一維基媒體項目中包含兩個頁面，例如使用不同字母或語言 (cdowiki、gomwiki、nanwiki都有這種狀況)。不同維基站請使用""重覆項目""。",,"this item duplicates another item and the two can't be merged, as one Wikimedia project includes two pages, e.g. in different scripts or languages (only applies to some wikis, e.g.: cdowiki, gomwiki, nanwiki).  Use P31=Q17362920 for other wikis."
P2614,世界遺產基準,,World Heritage criteria,,,selection criteria for UNESCO's cultural and natural 'World Heritage' designation since 2005
P852,ESRB评级,,ESRB rating,,,North American video game content rating
P5280,部首,,radical,,,radical of Chinese character
P1625,,,has melody,,,this work has the melody of the following work
P5826,代表主要意见者,,majority opinion by,,,judicial opinion agreed to by more than half of the members of a court
P3173,可眺望的景物,,offers view on,建物或場所可眺望的景物,,"things, places this place offers views on"
P196,小行星族,,minor planet group,根據類似的軌道特徵，對小行星進行分組,,is in grouping of minor planets according to similar orbital characteristics
P2825,途经,,via,行程的经停点,,"intermediate point on a journey - stopover location, waystation or routing point"
P2860,引用作品,,cites work,本作品所引用的其他作品,,citation from one creative or scholarly work to another
P2868,主體角色,,subject has role,项目（“主体”）的角色/通用标识，也在陈述的上下文中。 对于陈述（“客体”）的值的作用，使用P3831（“客体具有作用”）。 对于表演角色，请使用 P453（“扮演角色”）。 对于个人，请使用 P39。,,"role/generic identity of the item (""subject"") in the context of a statement. For the role of the value of the statement (""object""), use P3831 (""object has role""). For acting roles, use P453 (""character role""). For persons, use P39."
P263,官邸,,official residence,,,the residence at which heads of government and other senior figures officially reside
P8345,跨媒體製作,медиа франшиза,media franchise,该作品所属的跨媒体制作,,this creative work belongs to this media franchise
P2159,,,computes solution to,,,problem that this algorithm or method solves
P1444,行程目的地,,destination point,旅行、航班、航海、探险等活动的目的地,,"destination for this route (journey, flight, sailing, exploration, migration, etc.)"
P6942,动画师,,animator,,,person creating animated sequences out of still images
P6104,维护本项的维基专题,,maintained by WikiProject,,,"WikiProject that maintains this property, item, or linked pages. If the WikiProject is hosted outside of Wikidata, define the scope using the qualifier ""of (P642)"""
P3902,最后进食,,had as last meal,该人生前最后进食,,components of the last meal had by a person before death
P161,演员,,cast member,主体制作中的演员[使用（P453）和/或（P4633）作为修饰符] [使用“配音演员”（P725）作为仅配音角色],,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role]"
P54,所屬運動隊,,member of sports team,主體目前或曾代表的體育運動隊或俱樂部,,sports teams or clubs that the subject represents or represented
P5572,,,expressed in,,,gene or protein is expressed during a specific condition/cell cycle/process/form
P176,制造者,,manufacturer,本产品的制造商或生产商,,(main or final) manufacturer or producer of this product
P642,属于,,of,（本属性正在被弃用；详情参见WD:P642）修饰符，说明某项目陈述适用于特定项目的范围,,"(This property is being deprecated, see details at WD:P642) qualifier stating that a statement applies within the scope of a particular item"
P6803,在此找到的分类群,,taxon found at location,描述存在于此地的植物或动物分类群，不是国家或一级行政区实体。必需参考文献。参考文献应涵盖特定位置的有限数量分类群。,,"plant or animals taxon described as present in location, not countries or first-level subnational entities. Requires reference. Ref should cover a limited number of taxa for specific location."
P2643,卡内基高等教育机构分类,,Carnegie Classification of Institutions of Higher Education,美国学院和大学的分类,,classification of colleges and universities in the United States
P289,艦級,,vessel class,按照該船舶所屬的相同設計的船舶建造系列,,series of vessels or other watercraft built to the same design of which this vessel is a member
P6855,是否提供急診,,emergency services,用於描述醫院是否有提供緊急醫療服務,,emergencies treated by hospital or health care organization
P1791,埋葬地分類,,category for people buried here,,,Wikimedia category for people with a burial site within this area
P1038,亲属,,relative,非直接家庭成员（由P1039限定）,,"family member (qualify with ""kinship to subject"", P1039; for direct family member please use specific property)"
P5201,,,IMDA rating,,,rating in the Singaporean film and video game rating system
P1018,語言管理機構,,language regulatory body,一種語言的監管機構,,regulatory body of a language
P4151,游戏机制,,game mechanics,为与游戏状态互动而设计的规则或方法结构,,constructs of rules or methods designed for interaction with the game state
P361,所属实体,бөлігі,part of,将主体视为其中一部分的客体（如果该主体已经是客体A的一部分，而客体A又是客体B的一部分，则请只将主体设为客体A的一部分），是“可分为”（P527）的逆属性（另见“拥有此类别的一部分”（P2670））,"осы субъект құрамдас бөлігі болып табылатын объект, яғни осы нәрсе басқа бір нәрсенің құрамына кірсе, соны белгілеу керек. Бұған қарама қарсы мағынада P527 қолдануға болады, яғни бір нәрсе бірнеше нәрседен құралса, соларды белгілеу үшін","object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))"
P10254,,,associated cadastral district,,,cadastral district in which a place is located or is part of. Use only if distinct from administrative entities (P131) in predefined countries
P8596,項目外景共享資源分類,,category for the exterior of the item,用於描述項目（物品、場所）外部景觀的媒體檔案之共享資源分類,,"category for multimedia files depicting exterior views of this item (object, place)"
P3113,不包含的部分,,does not have part,该项目没有的预期部分（对于修饰符，使用 P6477）,,"expected part that the item does not have (for qualities, use P6477)"
P5008,维基媒体项目关注列表,,on focus list of Wikimedia project,属性来表明该项目是一个特定的维基媒体项目（WikiProject、编辑部、门户网站等）的工作列表的一部分。另见P6104、P972、P2354。,,"property to indicate that an item is of particular interest for a Wikimedia project. This property does not add notability. Items should not be created with this property if they are not notable for Wikidata. See also P6104, P972, P2354."
P237,纹章,,coat of arms,主体的纹章,,subject's coat of arms
P2568,取代者,,repealed by,,,document is repealed/inactived by specified other document
P1879,,,income classification (Philippines),,,classification grade of a Philippine local government unit based on income
P8225,为其元类,,is metaclass for,主体的所有实例都是客体的子类,,all instances of the subject are subclasses of the object
P9493,,,artist files at,,,institution or collection that holds artist files about the subject
P703,具此物質之物種,,found in taxon,可以在该分类群中找到的项目（化学物质）,,the taxon in which the item can be found
P344,摄影指导,,director of photography,電影、影片中主導攝影錄影的人,,"person responsible for the framing, lighting, and filtration of the subject work"
P7937,作品形式,,form of creative work,文学音乐等作品的结构形式,,structure of a creative work
P556,,,crystal system,,,type of crystal for minerals and/or for crystal compounds
P8403,理论提出者,,theorised by,,,subject who suggested or proposed this concept or invention
P5125,,,Wikimedia outline,,,item about an outline of the topic at Wikimedia sites
P282,書寫系統,,writing system,字母，字符集或主題語言使用的其他寫作系統,,"alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface"
P2673,下一个上游跨越点,,next crossing upstream,此河流（或运河等）在该项目上游一侧的跨越建筑,,"next crossing of this river, canal, etc. upstream of this subject"
P1060,,,disease transmission process,,,"process by which a pathogen is transmitted, equivalent to ""transmitted by"" in the relation ontology http://purl.obolibrary.org/obo/RO_0002451"
P4323,,,young rider classification,,,person ranked as young participant for this cycling stage or race
P414,证券交易所,,stock exchange,该公司进行交易的交易所,,exchange on which this company is traded
P2289,静脉引流,,venous drainage,,,vein draining the anatomical structure
P682,生物途径,,biological process,是_生物过程的参与者,,is involved in the biological process
P991,当选者,,successful candidate,,,person(s) or political organization(s) elected after the election
P3085,,,qualifies for event,,,this event qualifies for that event
P3301,广播业者,,broadcast by,通过广播、电视或互联网广播该项目的频道、网络、网站或服务,,"channel, network, website or service that broadcast this item over radio, television or the Internet"
P10661,,,exhibited creator,,,intellectual or creative entity (person or organization) responsible for the elements exhibited
P3834,廣播，電視和電影電影評級,,RTC film rating,墨西哥電影分類系統中的電影評級,,rating of a film in the Mexican film classification system
P2989,具有语义格,,has grammatical case,用這種語言的案例,,case used in this language
P859,赞助者,,sponsor,,,organization or individual that sponsors this item
P1204,維基媒體主題的主要話題,,Wikimedia portal's main topic,此主題頁面（Portal）的主題項目,,primary topic of this Wikimedia portal
P84,建築師,,architect,建造此建築物的人或建築公司,,person or architectural firm responsible for designing this building
P2348,時期,,time period,該主體發生的時間段（歷史時代、體育賽季、戲劇季、立法期等）,,"time period (historic period or era, sports season, theatre season, legislative period etc.) in which the subject occurred"
P5389,永久居留权,,permanent resident of,该人有权永久居留的国家或地区,,country or region where a person has the legal status of permanent resident
P4224,分类包含,,category contains,分类所包含的元素,,category contains elements that are instances of this item
P5030,,,talk show guest,,,person invited in a talk show
P1037,主管,,director / manager,管理任何組織的人,,person who manages any kind of group
P2283,使用,,uses,主体或操作中使用的项目或概念（另见仪器 [P1303] 和武器 [P520]）,,item or concept used by the subject or in the operation (see also instrument [P1303] and armament [P520])
P1995,醫學專科,,health specialty,在醫學中所屬的專科,,"main specialty that diagnoses, prevent human illness, injury and other physical and mental impairments"
P57,导演,режиссёрі,director,电影、电视剧、舞台剧、电子游戏等的导演,,"director(s) of film, TV-series, stageplay, video game or similar"
P92,主要規管文獻,,main regulatory text,當主體受管制時，用以設立主要管理規則的文本,,text setting the main rules by which the subject is regulated
P3428,,,INCAA film rating,,,rating of a movie in the Argentinian content rating system
P2695,模式产地 (地质学),,type locality (geology),,,"the locality where a particular rock type, stratigraphic unit or mineral species is defined from (can coincide but not the same as p189)"
P967,,,guest of honor,,,"guest(s) of honor invited to an event, e.g. a convention"
P11279,是该实体的数量,,is a number of,此实体是代表该项目数量的数字,,this entity is a number representing the quantity of this item
P156,之后是,,followed by,紧接在主体是其中一部分的一系列项目中[如果主体已被替换，例如 政治职位，使用“被取代”（P1366）],,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]"
P552,利手,икемді қолы,handedness,人类习惯所使用的手，左撇子或右撇子,"«оңқай (Q3039938)», «солақай (Q789447)», не «амбидекстрия (Q457332)» мәндерін ала алады",handedness of the person
P3342,重要人物,,significant person,与某个项目的任何可能方面有所联系的人物,,person linked to the item in any possible way
P4428,實現對象,,implementation of,該項是標準，程序，規範或編程語言的實現,,"implementation of a standard, program, specification or programming language"
P3402,,,CNC film rating (Romania),,,rating of a movie in the Romanian content rating system
P209,最高司法机关,,highest judicial authority,该地的最高司法机关,,"supreme judicial body within a country, administrative division, or other organization"
P8744,主题经济,,economy of topic,以对象的经济作为主题,,item that deals with the economy of the subject
P2758,,,CNC film rating (France),,,category assigned to a film by the Board of Film Classification (CNC) which what audiences may view it in France
P248,载于,дереккөзі,stated in,用于来源字段，显示信息来源,дереккөздер тізімінде дереккөзге сілтеме жасау үшін қолданылады; квалификаторлар үшін P805 қолданыңыз,to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865
P1268,代表对象,,represents,實體所代表的組織、個人或概念,,"organization, individual, or concept that an entity represents"
P179,所属系列,сериясының бөлігі,part of the series,包含主体的系列,,series which contains the subject
P276,位置,орналасқан жері,location,客體、結構或活動的位置。如遇某行政實體作為包含項目，請使用P131。統計實體請使用P8138。如遇地理實體請使用P706。與客體相關的位置請使用P7153,бір нәрсенің орналасқан жерін белгілеу үшін қолданылады. Әкімшілік-территориалды бөлімін көрсету үшін P131 қолданылады,"location of the object, structure or event. In the case of an administrative entity as containing item use P131. For statistical entities use P8138. In the case of a geographic entity use P706. Use P7153 for locations associated with the object"
P908,PEGI评级,,PEGI rating,泛欧游戏资讯组织游戏评级,,European video game content rating system
P155,之前是,,follows,主体是其中一部分的一系列中紧接在前面的项目[如果主体已取代前一项目，例如。 政府官员，使用“替换”（P1365）],,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]"
P833,换乘车站,,interchange station,与此车站存在换乘关系（无论是否处于同一收费体制下）的异名车站,,"station to which passengers can transfer from this station, normally without extra expense"
P1531,此杂交种、品种或栽培品种的亲本,,hybrid of,,,parent of this hybrid breed or cultivar
P647,選秀上被指名,,drafted by,遴選球員的球隊,,which team the player was drafted by
P6524,,,expression of,,,"realization of a work through words, sound, image etc. in the FRBR model"
P7938,所属选区,,associated electoral district,,,constituencies/electoral districts in which a place is located or is part of. If a municipality/county is split into or part of several districts: add several values. Use only if distinct from administrative entities (P131) in predefined countries
P11108,,,recorded participant,,,agent taking an active role as a participant in a nonfiction moving image or other recorded work
P418,印章描述,,"has seal, badge, or sigil",,,links to the item for the subject's seal
P8956,与此兼容,,compatible with,此作品、產品、物體或標準可以與另一個作品、產品、物體或標準互動,,"this work, product, object or standard can interact with another work, product, object or standard"
P10695,,,introduced in,,,item that introduced the subject
P2239,急救措施,,first aid measures,,,"actions to take to help a person in the case of exposure to this hazard or malady (accidents, injuries, harmful chemicals)"
P1382,部分重合物,,partially coincident with,某物部分屬於，但並非全部都屬於某個主題（全都屬於使用P361）,,"object that partially overlaps with the subject in its instances, parts, or members"
P6216,著作權狀態,,copyright status,,,"copyright status for intellectual creations like works of art, publications, software, etc."
P412,聲部,,voice type,,,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)"
P5131,,,possible medical findings,,,possible medical findings of a medical condition
P5277,日本汉字等级,,grade of kanji,,,degree of difficulty of kanji
P1269,话题方面,,facet of,该项目是其一个方面的主题，该项目为同一主题提供更广泛的视角,,"topic of which this item is an aspect, item that offers a broader perspective on the same topic"
P47,接壤,,shares border with,屬同一等級的行政區劃與項目的邊界接壤，無論陸域或水域,,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough."
P488,領導者,,chairperson,组织的控制人,,"presiding member of an organization, group or body"
P200,流入源,,inflows,主要流入來源-河流，含水層，冰川徑流等。某些術語可能不是地名，例如 沒有,,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none"
P1075,院长,,rector,,,senior official in an educational institution
P128,调控（分子生物学）,,regulates (molecular biology),分子生物学中由蛋白质或RNA调节的过程,,process regulated by a protein or RNA in molecular biology
P2517,,,category for recipients of this award,,,link to Wikimedia category for recipients of this award
P2341,原生地,,indigenous to,语言、艺术、文化等的原生之处,,"place or ethnic group where a language, art genre, cultural tradition or expression, cooking style or food, or biological species or variety is found (or was originally found)"
P2094,競技類別,,competition class,由監管機構進行的官方分類，主體（事件，團隊，參與者或設備）有資格列入,,"official classification by a regulating body under which the subject (events, teams, participants, or equipment) qualifies for inclusion"
P3842,当今地处行政领土实体,,located in the present-day administrative territorial entity,该实体目前所位于的行政区,,the item was located in the territory of this present-day administrative unit; however the two did not at any point coexist in time
P2992,软件质量管理,,software quality assurance,,,quality assurance process in place for a particular software
P734,姓氏,тегі,family name,某人的姓氏,тұлғаның толық аты-жөнінің бөлігі,part of full name of person
P8874,香港電影分級,,Hong Kong film rating,香港電影分級制度,,Hong Kong film classification system
P4791,指揮者,,commanded by,军事单位的指挥者,,"commander of a military unit/army/security service, operation, etc."
P1398,先前取代建筑,,structure replaces,某建築物在同一地點設立之後所取代的舊建築物,,"the item this building or structure replaced, at the same geographic location"
P3432,,,parent cell line,,,closest parent cell line of the cell line in question
P7903,,,gained territory from,,,(qualifier) territorial entity from which the subject item gained territory as a result of the event in the statement
P1532,体育代表国,,country for sport,某个人或团队在进行体育运动时所代表的国家,,country a person or a team represents when playing a sport
P735,名字,есімі,given name,人名，相对于姓；该属性的值不应链接到消歧义页或姓氏,осы тұлғаның алғашқы немесе жеке есімі,first name or another given name of this person; values used with the property should not link disambiguations nor family names
P790,獲准自,,approved by,,,item is approved by other item(s) [qualifier: statement is approved by other item(s)]
P694,被替代异名,,replaced synonym (for nom. nov.),,,"previously published name on which a replacement name (avowed substitute, nomen novum) is based"
P87,劇作者,,librettist,歌劇、輕歌劇、神劇或清唱套曲的作詞者，或音樂劇劇本的作者,,"author of the libretto (words) of an opera, operetta, oratorio or cantata, or of the book of a musical"
P913,符號,,notation,,,mathematical notation or another symbol
P9488,使用領域,,field of usage,這個意義的專門領域或術語,,specialized area or terminology where this sense is used
P1071,制作地点,,location of creation,製作物品的地方; 最終裝配的位置,,"place where the item was conceived or made; where applicable, location of final assembly"
P8693,粉絲文化,,fandom,,,"fan group of a celebrity, musical group, artist, work, etc."
P69,就读于,оқыған жері,educated at,主体就读的教育机构,,educational institution attended by subject
P3179,领土重合于,,territory overlaps,與該實體關聯的部分或全部區域與該實體關聯的部分或全部區域重疊,,part or all of the area associated with (this) entity overlaps part or all of the area associated with that entity
P2587,具有音位,,has phoneme,語言的音韻包括這種聲音,,the language's phonology includes this sound
P1881,角色列表,кейіпкерлер тізімі,list of characters,含有介紹該作品各角色訊息的頁面,,Wikimedia page with the list of characters for this work
P4777,,,has boundary,,,element that's on the two dimensional border that surrounds the subject; the limit of an entity
P2853,電源插頭型式,,electrical plug type,,,standard plug type for mains electricity in a country
P177,跨越,,crosses,此桥梁上跨，或次隧道下跨的障碍物（水体、道路、铁路等）,,"obstacle (body of water, road, railway...) which this bridge (ferry, ford) crosses over or this tunnel goes under"
P680,分子功能,,molecular function,,,represents gene ontology function annotations
P923,医学检查,,medical examination,,,examinations that might be used to diagnose and/or prognose the medical condition
P91,性取向,,sexual orientation,標示一個人物的性取向——当且仅当他们自己明确声明，或者在他们死后被历史学家广泛认同时使用,,"the sexual orientation of the person relative to their declared gender — use ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death"
P1809,编舞,,choreographer,,,person(s) who did the choreography
P1880,测量规范,,measurement scale,,,scale by which a phenomenon is measured
P9161,,,thesis committee member,,,"member of the committee for this thesis or dissertation; for any type of thesis (bachelor's, master's, doctoral, etc.). Qualify with ""object has role"" (P3831) to indicate chair"
P3259,,,intangible cultural heritage status,,,status of an item that is designated as intangible heritage
P1560,,,given name version for other gender,,,"equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one"
P636,给药途径,,route of administration,将药物、液体、毒物或其他物质摄入体内的路径,,"path by which a drug, fluid, poison, or other substance is taken into the body"
P1592,檢察官,,prosecutor,,,"person representing the prosecuting authority, at a trial"
P797,管理机关,,authority,對給定實體具有行政權力的實體,,entity having executive power on given entity
P6379,館藏處,,has works in the collection,收藏有該藝術家作品的場館,,collection that has works of this person or organisation (use archives at [P485] for archives)
P1598,,,consecrator,,,bishop who presided as consecrator or co-consecrator of this bishop
P462,颜色,түс,color,主題的顏色,,color of subject
P8701,人口普查,,has census,,,general population census of the country or region
P2670,拥有此类的一部分,,has part(s) of the class,主体实例具有客体类的部分（主体通常不是类）,,the subject has one or more parts of the object class
P1406,文字方向,,script directionality,此語言的書寫系統的方向,,direction that a writing system goes in
P629,原作，或再版原作，或译本,,edition or translation of,是该实体的再版版本或译作,,is an edition or translation of this entity
P371,主持人,,presenter,电台或电视节目的主要主持人,,main role in presenting a radio or television program or a performing arts show
P2567,,,amended by,,,document is amended by specified other document
P1327,专业或体育合作伙伴,,partner in business or sport,,,professional collaborator
P163,旗帜,,flag,主体的旗帜,,subject's flag
P1906,國家元首職位,,office held by head of state,,,political office that is fulfilled by the head of state of this item
P2058,保管方,,depositary,,,depositary of the treaty
P1678,頂點圖,,has vertex figure,以幾何圖形頂角切去時所露出的形狀來描述頂角結構,,the figure exposed when a corner of a polytope is sliced off
P3364,立體異構體,,stereoisomer of,目標項目是此項目的立體異構體,,target item is a stereoisomer of this item
P921,作品主题,негізгі пән,main subject,作品的主要话题（另可参见P180，描绘对象）,,primary topic of a work (see also P180: depicts)
P2597,革蘭氏染色,,Gram staining,,,Gram stain type of a bacterial strain
P2674,下一个下游跨越点,,next crossing downstream,此河流（或运河等）在该项目下游一侧的跨越建筑,,"next crossing of this river, canal, etc. downstream of this subject"
P5841,在捷克濒危物种红色名录中的状态,,Status in the Red List of Threatened Species in the Czech Republic,,,endangerment status of species in the national Red List of the Czech Republic
P1552,特性,,has characteristic,該實體的固有性質或可辨別的質特徵,,inherent or distinguishing quality or feature of the entity. Use a more specific property when possible
P2515,服裝設計,,costume designer,,,"person who designed the costumes for a film, television programme, etc."
P6364,官方颜色,,official color,用于表示或标识项目的正式颜色,,official colors chosen to represent or identify an item
P689,影响,,afflicts,受某种病症或疾病影响的生物体或器官的类型,,"type of organism which a condition or disease afflicts (for an organ affected by a condition, use P927)"
P457,成立文书,,foundational text,成立一个机构或客体所依据的文书,,text through which an institution or object has been created or established
P8875,收录题录数据库,,indexed in bibliographic review,收录该学术期刊的题录数据库,,bibliographic review(s) and/or database(s) which index this academic journal
P3592,沙羅周期,,saros cycle of eclipse,,,
P3494,,,points classification,,,classification established according to points scored by runners
P2784,麥加利地震烈度表,,modified Mercalli intensity scale,量度地震震度的單位,,measurement of the intensity of an earthquake
P6193,批准方,,ratified by,用以指明條約已被指定國家或國際法主體批准,,used to specify that a treaty has been ratified by a given state or subject of international law
P4290,官方应用程序,,official app,本组织或其他实体的官方应用程序（Android、iOS等可下载应用程序）,,"official app for this organization or other entity (a downloadable application for Android, iOS, etc.)"
P4324,,,combination classification,,,"person ranked in ""best at combination"" for this cycling stage or race"
P5236,,,prime factor,,,one of the prime numbers that can be multiplied to give this number
P2869,,,record or record progression,,,links to item on the record or record progression
P516,发动机,,powered by,用於為主體提供動力的設備或發動機,,equipment or engine used by the subject to convert a source or energy into mechanical energy
P2499,,,league level above,,,the league above this sports league
P178,開發者,әзірлеуші,developer,開發該項目的組織或個人,,organization or person that developed the item
P6532,,,has phenotype,,,"a relationship that holds between a biological entity and a phenotype, equivalent to ""has property"" in the relation ontology http://purl.obolibrary.org/obo/RO_0002200"
P870,使用的乐器,,instrumentation,,,combination of musical instruments employed in a composition or accompanying a (folk) dance
P530,外交关系,,diplomatic relation,该国的外交关系,,diplomatic relations of the country
P8339,,,entry receptor,,,receptor protein or protein whose receptor is being used by this subject virus/microorganism group to enter cells
P37,官方语言,,official language,本项目指定的官方语言,,language designated as official by this item
P533,攻击目标,,target,军事行动或恐怖袭击的目标,,target of an attack or military operation
P40,子女,,child,主体有作为其子女的客体。 不要用于继子女,,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""type of kinship"" (P1039)"
P10611,,,has certification,,,states that an item has a certain certification
P8791,電子化,,digitised by,,,"institution or person who digitised an exemplar of this item. Qualify with ""criterion used"" (P1013) to indicate which step was done."
P3985,支援的程式語言,,supports programming language,此程式設計工具支援的程式語言,,programming language which is supported by this programming tool
P1478,直接原因,,has immediate cause,,,"nearest, proximate thing that directly resulted in the subject as outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'."
P417,主保圣人,,patron saint,该主题的守护神,,patron saint adopted by the subject
P1299,描绘作品,,depicted by,描述本主题的创意、宗教作品,,"object depicting this subject (object being creative works such as books, films, paintings)"
P1875,代表者,,represented by,,,person or agency that represents or manages the subject
P3150,生日,,birthday,出生月和日。用於無法得知完整「出生日期」(P569)時,,"item for day and month on which the subject was born. Used when full ""date of birth"" (P569) isn't known."
P135,文化运动,,movement,与此人或作品相关的文学、艺术、科学或哲学运动或事件,,"literary, artistic, scientific or philosophical movement or scene associated with this person or work. For political ideologies use P1142."
P676,作词者,,lyrics by,歌詞作者；也可以將P86用於音樂作曲家,,author of song lyrics
P180,描繪內容,суреттелген нәрсе,depicts,被描绘的实体（另见 P921：主要主体）,,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921,  'main subject'"
P1877,原著作者,,after a work by,,,artist whose work strongly inspired / was copied in this item
P2817,,,appears in the heritage monument list,,,heritage monument is a part of the list of heritage monuments
P5588,入侵到,,invasive to,,,"region which a taxon is not endemic to where the taxon has a tendency to spread to a degree believed to cause damage to the environment, human economy or human health"
P9897,App Store年龄分级,,App Store age rating,Apple針對App Store中發佈的軟體內容分級分類,,content rating category by Apple for software published at the App Store
P1571,到达域,,codomain,函数输出值的集合,,codomain of a function
P1066,师承,,student of,传授技艺者,,person who has taught this person
P6886,书写语言,,writing language,作者寫作時所用的語言,,language in which the writer has written their work
P2363,NMHH電影評級,,NMHH film rating,匈牙利的電影評級,,rating of a film in the Hungarian film rating system
P8047,船舶国籍,,country of registry,船舶所进行登记注册的国家,,country where a ship is or has been registered
P793,重大事件,негізгі оқиға,significant event,相关的重大或著名的事件,элемент үшін аса маңызды оқиға,significant or notable events associated with the subject
P1424,话题主模板,негізгі тақырып үлгісі,topic's main template,该主题的主要信息框或导航模板,,the main template relating to a topic
P479,输入设备,,input device,与软件交互的方式或装置,,input device used to interact with a software or a device
P4969,衍生作品,туынды жұмыс,derivative work,從這件藝術品的主要部分創作的作品; 從該軟件的主要部分創建的工作,,"new work of art (film, book, software, etc.) derived from major part of this work"
P2596,文化,мәдениет,culture,该数据项所属的文化或民族,бұл нәрсемен байланысты мәдениет,human culture or people (or several cultures) associated with this item
P2563,,,superhuman feature or ability,,,"superhuman, supernatural, or paranormal abilities that the fictional subject exhibits"
P9652,虚构角色的性格特点,,personality trait of fictional character,,,particular personality trait which applies to this fictional character
P1889,相異於,шатастырмаңыз,different from,容易混淆但不相同的事物,"осы элементпен жиі шатастырылатын, басқа мағынасы бар элементке сілтеме","item that is different from another item, with which it may be confused"
P8193,,,hardiness of plant,,,"recommended hardiness zone for plant, ability of plant to survive adverse growing conditions"
P8702,,,parallel street,,,closest street(s) that run parallel to the item
P3080,游戏艺术家,,game artist,,,"game artist(s) that produced art assets for a role-playing games, collectible card games, video game, etc."
P4675,形态,,appears in the form of,这个虚构的或神话中的实体采取了该实体的形式,,this fictional or mythical entity takes the form of that entity
P1568,定義域,,definition domain,函數自變數所有可取值的集合,,"set of ""input"" or argument values for which a mathematical function is defined"
P739,,,ammunition,,,cartridge or other ammunition used by the subject firearm
P4387,更新方法,,update method,應用程式或作業系統接收更新或自我更新的方法,,method used by an app/OS to receive updates or self-update
P186,材料,,made from material,制品所使用的材料,,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes)
P4788,,,storage device,,,data storage device supported by a machine (e.g. camera or mobile phone)
P2176,用藥,,drug or therapy used for treatment,治療該病使用的藥品,,"drug, procedure, or therapy that can be used to treat a medical condition"
P4844,,,research intervention,,,"the focus of an experiment, also called the experimental variable, research activity, or study intervention"
P10624,组织内官方观察员地位,,official observer status in organisation,,,Organisation by which the subject is granted observer status
P3018,所在保护区,,located in protected area,,,protected area where a place or geographical feature is physically located
P3938,命名者,,named by,对该对象命名的人或组织，用作限定符,,person or organisation that coined the name; use as qualifier for P2561 and its subproperties
P4884,法院,,court,审理该案件的法院,,specific court a legal case is/was heard/decided in
P150,下辖行政领土实体,,contains the administrative territorial entity,行政领土实体的直接细分（清单）,,(list of) direct subdivisions of an administrative territorial entity
P61,發現者或發明者,,discoverer or inventor,发现、首先描述、发明或开发此发现或发明的主体,,"subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory"
P10449,教練,,trained by,曾訓練此運動員的教練,,personal trainer of the athlete
P2522,獲勝賽事,,victory,,,competition or event won by the subject
